Timestamp,Hour,Minute,DayOfWeek,Total_Usage_W
2024-01-01 00:00:00,0,0,0,2377.09
2024-01-01 00:05:00,0,5,0,2383.65
2024-01-01 00:10:00,0,10,0,2378.9
2024-01-01 00:15:00,0,15,0,2383.21
2024-01-01 00:20:00,0,20,0,2376.31
2024-01-01 00:25:00,0,25,0,2384.72
2024-01-01 00:30:00,0,30,0,1679.13
2024-01-01 00:35:00,0,35,0,1678.29
2024-01-01 00:40:00,0,40,0,1684.82
2024-01-01 00:45:00,0,45,0,1676.46
2024-01-01 00:50:00,0,50,0,1683.41
2024-01-01 00:55:00,0,55,0,1676.56
2024-01-01 01:00:00,1,0,0,2375.88
2024-01-01 01:05:00,1,5,0,2382.47
2024-01-01 01:10:00,1,10,0,2381.5
2024-01-01 01:15:00,1,15,0,2379.39
2024-01-01 01:20:00,1,20,0,2381.73
2024-01-01 01:25:00,1,25,0,2384.05
2024-01-01 01:30:00,1,30,0,1676.94
2024-01-01 01:35:00,1,35,0,1675.9
2024-01-01 01:40:00,1,40,0,1680.97
2024-01-01 01:45:00,1,45,0,1677.15
2024-01-01 01:50:00,1,50,0,1676.04
2024-01-01 01:55:00,1,55,0,1680.71
2024-01-01 02:00:00,2,0,0,2376.41
2024-01-01 02:05:00,2,5,0,2384.44
2024-01-01 02:10:00,2,10,0,2380.73
2024-01-01 02:15:00,2,15,0,2381.3
2024-01-01 02:20:00,2,20,0,2383.35
2024-01-01 02:25:00,2,25,0,2380.44
2024-01-01 02:30:00,2,30,0,1677.44
2024-01-01 02:35:00,2,35,0,1679.68
2024-01-01 02:40:00,2,40,0,1677.77
2024-01-01 02:45:00,2,45,0,1676.53
2024-01-01 02:50:00,2,50,0,1678.85
2024-01-01 02:55:00,2,55,0,1675.33
2024-01-01 03:00:00,3,0,0,2377.29
2024-01-01 03:05:00,3,5,0,2380.94
2024-01-01 03:10:00,3,10,0,2378.53
2024-01-01 03:15:00,3,15,0,2381.51
2024-01-01 03:20:00,3,20,0,2377.46
2024-01-01 03:25:00,3,25,0,2375.31
2024-01-01 03:30:00,3,30,0,1684.53
2024-01-01 03:35:00,3,35,0,1682.92
2024-01-01 03:40:00,3,40,0,1678.84
2024-01-01 03:45:00,3,45,0,1677.35
2024-01-01 03:50:00,3,50,0,1684.42
2024-01-01 03:55:00,3,55,0,1684.41
2024-01-01 04:00:00,4,0,0,2379.14
2024-01-01 04:05:00,4,5,0,2376.7
2024-01-01 04:10:00,4,10,0,2384.32
2024-01-01 04:15:00,4,15,0,2377.46
2024-01-01 04:20:00,4,20,0,2377.88
2024-01-01 04:25:00,4,25,0,2376.05
2024-01-01 04:30:00,4,30,0,1684.82
2024-01-01 04:35:00,4,35,0,1681.63
2024-01-01 04:40:00,4,40,0,1683.43
2024-01-01 04:45:00,4,45,0,1677.64
2024-01-01 04:50:00,4,50,0,1678.48
2024-01-01 04:55:00,4,55,0,1680.62
2024-01-01 05:00:00,5,0,0,3335.01
2024-01-01 05:05:00,5,5,0,3336.84
2024-01-01 05:10:00,5,10,0,11395.72
2024-01-01 05:15:00,5,15,0,11396.82
2024-01-01 05:20:00,5,20,0,11396.49
2024-01-01 05:25:00,5,25,0,3341.34
2024-01-01 05:30:00,5,30,0,10684.14
2024-01-01 05:35:00,5,35,0,10683.74
2024-01-01 05:40:00,5,40,0,10681.91
2024-01-01 05:45:00,5,45,0,10680.85
2024-01-01 05:50:00,5,50,0,10675.3
2024-01-01 05:55:00,5,55,0,10676.38
2024-01-01 06:00:00,6,0,0,19319.66
2024-01-01 06:05:00,6,5,0,19313.61
2024-01-01 06:10:00,6,10,0,19315.8
2024-01-01 06:15:00,6,15,0,19319.5
2024-01-01 06:20:00,6,20,0,11304.2
2024-01-01 06:25:00,6,25,0,11300.79
2024-01-01 06:30:00,6,30,0,4.13
2024-01-01 06:35:00,6,35,0,1.43
2024-01-01 06:40:00,6,40,0,0.84
2024-01-01 06:45:00,6,45,0,4.86
2024-01-01 06:50:00,6,50,0,0.06
2024-01-01 06:55:00,6,55,0,0.0
2024-01-01 07:00:00,7,0,0,698.9
2024-01-01 07:05:00,7,5,0,704.47
2024-01-01 07:10:00,7,10,0,703.2
2024-01-01 07:15:00,7,15,0,703.92
2024-01-01 07:20:00,7,20,0,697.14
2024-01-01 07:25:00,7,25,0,695.54
